"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKR1B10",836.319388245206,7.93561716439247,1.67234093429556,4.74521492696415,2.08285059689689e-06,0.000558072133981222
"IGLC6",373.666659600699,8.39087703894729,1.77282854673609,4.7330448589603,2.21176582681769e-06,0.000585205590703125
"CRISP3",395.170764534831,8.22697091435127,1.74731595389278,4.7083476208311,2.49732949435878e-06,0.000652604609964102
"TCN1",3262.74439658132,5.36742449919979,1.15161851363163,4.66076607458628,3.15034612072811e-06,0.000813211906554291
"CDSN",69.2952600651493,6.32228153516536,1.35906943732047,4.65191943954705,3.28859560019213e-06,0.000828686941300795
"LOC101929532",120.763017630932,6.24428295778125,1.34207105614752,4.65272157474714,3.27582432400361e-06,0.000828686941300795
"ALPK2",105.005274015512,7.39899053735889,1.60604246487132,4.60697067431011,4.08577597153369e-06,0.00101613386440522
"WFDC1",38.722073961237,-6.26524474632498,1.36058781252959,-4.60480734034852,4.12847887460903e-06,0.00101613386440522
"SMIM24",102.858679183671,7.08293921558344,1.54220379019044,4.59273882001599,4.37466429509321e-06,0.00106435079464641
"CEACAM6",16344.137343511,5.15520834411361,1.12559315307983,4.57999262878245,4.64992317733347e-06,0.00110589802128784
"IGKC",9841.53702298727,5.09722740485221,1.1127269001938,4.58084315564265,4.63105066503078e-06,0.00110589802128784
"IGLV3-21",102.486978536676,7.9109955918751,1.74756545651224,4.52686654018884,5.9864720356632e-06,0.00140795170643203
"CDH17",533.312607269765,6.80659652703668,1.50662072943126,4.51779030652666,6.24883216435715e-06,0.0014535058288236
"RGS7BP",38.1990504645104,6.12590206241402,1.35918212914899,4.50705018189841,6.57350912621679e-06,0.00151240725733294
"ABRACL",42.7525015632098,5.00100214275094,1.11059093703229,4.50301004266665,6.69977165822591e-06,0.00152488243752331
"IGHM",3265.95389376373,5.62345185229113,1.25640891226443,4.47581340549071,7.61209454022477e-06,0.00171409792694614
"IGHV1-18",209.503043457492,7.81796272216007,1.75066029076189,4.46572231255537,7.97990593395837e-06,0.00177800704109576
"SLC5A1",1075.40298551466,4.33036229586099,0.972172577176755,4.45431438565837,8.41617023824372e-06,0.00185567786909276
"SSX2IP",246.414991646481,2.06544533425296,0.465014437644294,4.4416800147459,8.92592285583916e-06,0.00194778359886131
"FAM106C",35.6670142272073,6.50019896396556,1.46435540136067,4.43894901328298,9.03992268025699e-06,0.00195253105482653
"SIGLEC6",31.9712037574947,6.41505833507046,1.44800077879484,4.43028652264238,9.41079671478479e-06,0.00201210438446313
"IGLJ1",194.66803219634,7.69350224556151,1.73925460019,4.42344797864616,9.71380297265751e-06,0.00205612067522241
"TFF1",1454.41566651573,7.73574941975346,1.75737674314695,4.40187310428439,1.07320321634625e-05,0.00224915767132683
"HOXD8",22.6146143512888,5.75611200474033,1.30830584427817,4.39966849488174,1.08416369954632e-05,0.00224985225767617
"CTSE",3088.05013578196,6.13330187559781,1.39628388610614,4.39258945593217,1.12008518330246e-05,0.0023018294247537
"H2AC4",76.6775747557057,5.38732426978934,1.22978877306193,4.38069072331499,1.18303689673405e-05,0.00240782134549707
"ISCA2",67.8784078027661,2.26666681457403,0.517819847941213,4.37732702519229,1.20143641201936e-05,0.0024219813841156
"FAM106A",30.3826162878536,6.59395541954819,1.51064429952343,4.364995400723,1.27125433282006e-05,0.00249958263944516
"LOC105373796",16.1771633580924,5.53720892893502,1.26875339208571,4.36429093587082,1.27535751433872e-05,0.00249958263944516
"LOC112268252",2864.87504962367,6.2418679452663,1.42968843630309,4.36589384565957,1.26603958108071e-05,0.00249958263944516
